operation,architecture,cachePolicy,coldOrHot,fileId,userId,hit,cacheLevel,latency,nodeId,chunkCount,fileSize,speed,replicaCount,verificationPassed,createdAt
upload,cached,lruk,cold,6a2c4d0cd5fb089fbee245d9,69cfffee616f420dbf6f354c,FALSE,STORAGE,1060,,10,700416,660769.8113,3,TRUE,Fri Jun 12 2026 23:46:44 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d0dd5fb089fbee2462a,69cfffee616f420dbf6f354c,FALSE,STORAGE,1166,,11,770048,660418.5249,3,TRUE,Fri Jun 12 2026 23:46:45 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d0ed5fb089fbee24680,69cfffee616f420dbf6f354c,FALSE,STORAGE,1240,,12,875520,706064.5161,3,TRUE,Fri Jun 12 2026 23:46:46 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d0fd5fb089fbee246cf,69cfffee616f420dbf6f354c,FALSE,STORAGE,814,,10,665600,817690.4177,3,TRUE,Fri Jun 12 2026 23:46:47 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d10d5fb089fbee24729,69cfffee616f420dbf6f354c,FALSE,STORAGE,1112,,13,942080,847194.2446,3,TRUE,Fri Jun 12 2026 23:46:48 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d11d5fb089fbee247bb,69cfffee616f420dbf6f354c,FALSE,STORAGE,866,,9,651264,752036.9515,3,TRUE,Fri Jun 12 2026 23:46:49 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d12d5fb089fbee247ef,69cfffee616f420dbf6f354c,FALSE,STORAGE,421,,4,285696,678612.8266,3,TRUE,Fri Jun 12 2026 23:46:50 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d12d5fb089fbee2482a,69cfffee616f420dbf6f354c,FALSE,STORAGE,491,,7,465920,948920.5703,3,TRUE,Fri Jun 12 2026 23:46:50 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d12d5fb089fbee24854,69cfffee616f420dbf6f354c,FALSE,STORAGE,219,,2,142336,649936.0731,3,TRUE,Fri Jun 12 2026 23:46:50 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d13d5fb089fbee24881,69cfffee616f420dbf6f354c,FALSE,STORAGE,348,,4,219136,629701.1494,3,TRUE,Fri Jun 12 2026 23:46:51 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d14d5fb089fbee248c4,69cfffee616f420dbf6f354c,FALSE,STORAGE,861,,9,627712,729049.9419,3,TRUE,Fri Jun 12 2026 23:46:52 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d14d5fb089fbee24900,69cfffee616f420dbf6f354c,FALSE,STORAGE,672,,6,384000,571428.5714,3,TRUE,Fri Jun 12 2026 23:46:52 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d15d5fb089fbee2493d,69cfffee616f420dbf6f354c,FALSE,STORAGE,760,,7,483328,635957.8947,3,TRUE,Fri Jun 12 2026 23:46:53 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d16d5fb089fbee24a16,69cfffee616f420dbf6f354c,FALSE,STORAGE,1359,,14,996352,733150.8462,3,TRUE,Fri Jun 12 2026 23:46:54 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d17d5fb089fbee24a4f,69cfffee616f420dbf6f354c,FALSE,STORAGE,336,,4,209920,624761.9048,3,TRUE,Fri Jun 12 2026 23:46:55 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d18d5fb089fbee24a92,69cfffee616f420dbf6f354c,FALSE,STORAGE,1007,,9,589824,585723.9325,3,TRUE,Fri Jun 12 2026 23:46:56 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d19d5fb089fbee24aee,69cfffee616f420dbf6f354c,FALSE,STORAGE,1223,,14,1038336,849007.359,3,TRUE,Fri Jun 12 2026 23:46:57 GMT+0530 (India Standard Time)
upload,cached,lruk,cold,6a2c4d1ad5fb089fbee24b33,69cfffee616f420dbf6f354c,FALSE,STORAGE,489,,7,471040,963271.9836,3,TRUE,Fri Jun 12 2026 23:46:58 GMT+0530 (India Standard Time)
